gender,age,occupation,visits,meal_type,time_spent,distance,member,purchase,quality_rating,price_rating,sales/promotions_importance,ambiance_rating,wifi_quality,service_rating,starbucks_for_business_meetings/hangouts,promotions_source,will_return
female,from_20_to_29,student,rarely,dine_in,between_30_minutes_to_1_hour,within_1km,yes,coffee,4,3,5,5,4,4,3,"starbucks_website/apps;social_media;emails;deal_sites_(fave,_iprice,_etc...)",yes
female,from_20_to_29,student,rarely,take_away,below_30_minutes,1km_-_3km,yes,cold_drinks;pastries,4,3,4,4,4,5,2,social_media;in_store_displays,yes
male,from_20_to_29,employed,monthly,dine_in,between_30_minutes_to_1_hour,more_than_3km,yes,coffee,4,3,4,4,4,4,3,in_store_displays;billboards,yes
female,from_20_to_29,student,rarely,take_away,below_30_minutes,more_than_3km,no,coffee,2,1,4,3,3,3,3,through_friends_and_word_of_mouth,no
male,from_20_to_29,student,monthly,take_away,between_30_minutes_to_1_hour,1km_-_3km,no,coffee;sandwiches,3,3,4,2,2,3,3,starbucks_website/apps;social_media,yes
female,from_20_to_29,student,rarely,dine_in,between_30_minutes_to_1_hour,more_than_3km,no,cold_drinks,4,3,5,5,4,5,4,social_media,yes
female,from_20_to_29,student,rarely,dine_in,below_30_minutes,within_1km,yes,coffee,5,5,5,5,3,5,5,starbucks_website/apps;social_media,yes
male,from_20_to_29,employed,rarely,dine_in,between_30_minutes_to_1_hour,more_than_3km,yes,coffee;cold_drinks,4,2,3,3,3,3,3,starbucks_website/apps;social_media;emails;through_friends_and_word_of_mouth,yes
female,from_20_to_29,student,rarely,drive-thru,below_30_minutes,more_than_3km,yes,cold_drinks,5,4,4,4,4,4,4,starbucks_website/apps;social_media;through_friends_and_word_of_mouth,yes
male,from_20_to_29,employed,monthly,take_away,below_30_minutes,more_than_3km,no,coffee,4,3,3,4,3,3,4,social_media;through_friends_and_word_of_mouth,yes
female,from_20_to_29,student,rarely,dine_in,below_30_minutes,more_than_3km,no,cold_drinks,4,1,4,5,3,3,4,social_media,yes
female,from_20_to_29,student,rarely,dine_in,between_30_minutes_to_1_hour,more_than_3km,no,coffee,3,2,4,4,3,4,4,starbucks_website/apps;social_media;through_friends_and_word_of_mouth,no
female,from_20_to_29,student,weekly,take_away,below_30_minutes,1km_-_3km,yes,coffee;sandwiches,4,3,2,4,4,3,4,social_media,yes
female,from_20_to_29,student,rarely,take_away,below_30_minutes,1km_-_3km,yes,coffee,4,3,4,4,4,4,3,social_media,yes
female,from_20_to_29,student,rarely,take_away,below_30_minutes,within_1km,yes,coffee,5,2,5,5,5,5,2,social_media;through_friends_and_word_of_mouth;in_store_displays,no
female,from_20_to_29,employed,rarely,take_away,between_30_minutes_to_1_hour,more_than_3km,yes,coffee,4,1,5,4,3,4,4,starbucks_website/apps,no
male,from_30_to_39,employed,monthly,drive-thru,below_30_minutes,within_1km,yes,coffee,4,3,3,4,3,3,3,social_media,yes
male,from_20_to_29,employed,rarely,dine_in,below_30_minutes,within_1km,yes,coffee,4,4,4,4,4,4,4,social_media;through_friends_and_word_of_mouth,yes
male,from_20_to_29,employed,weekly,take_away,below_30_minutes,1km_-_3km,yes,coffee,4,3,4,5,5,5,5,starbucks_website/apps;social_media;emails;through_friends_and_word_of_mouth,yes
female,from_20_to_29,self-employed,rarely,take_away,below_30_minutes,1km_-_3km,yes,cold_drinks,3,4,3,4,3,4,2,emails,yes
male,from_30_to_39,employed,rarely,take_away,below_30_minutes,within_1km,yes,coffee,2,2,5,3,3,4,3,social_media;emails,no
female,from_20_to_29,employed,rarely,dine_in,below_30_minutes,within_1km,no,coffee,5,3,4,3,3,4,5,social_media,yes
male,from_20_to_29,employed,rarely,dine_in,more_than_3_hours,within_1km,no,coffee,5,2,5,5,2,4,3,through_friends_and_word_of_mouth,no
female,from_20_to_29,student,monthly,drive-thru,between_1_hour_to_2_hours,1km_-_3km,yes,cold_drinks;pastries;sandwiches,5,4,4,5,4,4,3,social_media;through_friends_and_word_of_mouth,yes
male,40_and_above,self-employed,rarely,dine_in,between_1_hour_to_2_hours,more_than_3km,no,coffee;juices;pastries;sandwiches,4,3,4,4,3,3,5,through_friends_and_word_of_mouth;in_store_displays,yes
male,from_30_to_39,employed,monthly,dine_in,between_30_minutes_to_1_hour,1km_-_3km,yes,coffee;cold_drinks,4,3,1,4,4,5,4,social_media;in_store_displays;billboards,yes
male,from_30_to_39,employed,rarely,drive-thru,below_30_minutes,1km_-_3km,no,coffee,4,2,4,4,4,4,2,application_offer,no
male,from_20_to_29,self-employed,monthly,take_away,below_30_minutes,more_than_3km,no,coffee,5,3,4,4,3,4,3,social_media,yes
male,40_and_above,self-employed,weekly,drive-thru,below_30_minutes,1km_-_3km,yes,coffee,4,5,3,3,3,4,5,starbucks_website/apps;social_media;through_friends_and_word_of_mouth;in_store_displays,yes
female,from_20_to_29,employed,rarely,dine_in,between_30_minutes_to_1_hour,1km_-_3km,yes,coffee,5,5,5,5,3,5,5,starbucks_website/apps;social_media;emails;through_friends_and_word_of_mouth,yes
female,from_20_to_29,employed,monthly,take_away,between_30_minutes_to_1_hour,more_than_3km,yes,coffee;pastries;sandwiches,3,1,4,4,3,4,4,starbucks_website/apps;social_media;emails;through_friends_and_word_of_mouth,yes
female,from_20_to_29,employed,weekly,drive-thru,below_30_minutes,within_1km,yes,coffee;pastries,4,3,3,3,2,3,4,in_store_displays,yes
female,from_30_to_39,employed,rarely,take_away,below_30_minutes,more_than_3km,no,coffee,2,3,5,5,3,5,5,social_media,yes
female,from_20_to_29,employed,rarely,dine_in,between_30_minutes_to_1_hour,1km_-_3km,yes,coffee,3,2,3,3,3,4,3,social_media,no
female,from_20_to_29,employed,rarely,take_away,below_30_minutes,within_1km,no,coffee,3,4,4,3,4,4,3,social_media;through_friends_and_word_of_mouth;billboards,yes
female,from_20_to_29,student,rarely,take_away,below_30_minutes,more_than_3km,no,coffee,4,2,4,4,3,4,1,social_media,no
female,from_20_to_29,self-employed,rarely,take_away,below_30_minutes,within_1km,no,cold_drinks,3,3,4,4,5,5,2,social_media,yes
male,below_20,student,rarely,dine_in,between_1_hour_to_2_hours,more_than_3km,no,coffee,5,2,3,4,4,3,5,starbucks_website/apps;social_media,yes
male,from_20_to_29,employed,rarely,take_away,below_30_minutes,more_than_3km,yes,cold_drinks;juices;pastries,4,4,4,4,4,4,4,in_store_displays,yes
male,from_30_to_39,employed,rarely,take_away,below_30_minutes,within_1km,yes,coffee,3,2,5,3,3,5,3,starbucks_website/apps;social_media,yes
male,from_20_to_29,employed,monthly,dine_in,between_30_minutes_to_1_hour,within_1km,yes,coffee,5,4,5,5,3,5,5,starbucks_website/apps;social_media,yes
female,from_20_to_29,employed,weekly,dine_in,between_30_minutes_to_1_hour,within_1km,yes,coffee,5,4,5,5,1,4,4,social_media,yes
female,from_20_to_29,employed,monthly,take_away,below_30_minutes,more_than_3km,no,coffee;pastries,4,4,5,4,4,5,5,starbucks_website/apps;social_media;emails;billboards,yes
female,from_30_to_39,student,rarely,take_away,below_30_minutes,1km_-_3km,yes,coffee;pastries,5,3,4,3,4,4,4,social_media,yes
female,from_20_to_29,self-employed,rarely,take_away,between_30_minutes_to_1_hour,more_than_3km,no,coffee,3,1,5,4,3,3,2,"social_media;emails;deal_sites_(fave,_iprice,_etc...);through_friends_and_word_of_mouth;in_store_displays;billboards",yes
female,from_20_to_29,employed,rarely,take_away,below_30_minutes,within_1km,no,cold_drinks,3,4,5,4,3,4,2,social_media;through_friends_and_word_of_mouth,yes
male,below_20,student,rarely,drive-thru,below_30_minutes,within_1km,yes,cold_drinks,3,3,3,3,3,3,3,social_media,yes
male,40_and_above,employed,rarely,dine_in,below_30_minutes,more_than_3km,yes,coffee,4,4,4,4,2,3,4,social_media;in_store_displays,yes
female,below_20,student,rarely,dine_in,below_30_minutes,more_than_3km,no,cold_drinks,3,3,2,2,2,4,3,social_media;through_friends_and_word_of_mouth,no
female,40_and_above,housewife,monthly,take_away,below_30_minutes,more_than_3km,yes,cold_drinks;juices;pastries,5,4,3,5,3,5,5,"starbucks_website/apps;social_media;deal_sites_(fave,_iprice,_etc...);through_friends_and_word_of_mouth",yes
female,below_20,student,rarely,drive-thru,below_30_minutes,more_than_3km,no,coffee,3,3,2,3,3,3,3,social_media,yes
female,from_20_to_29,employed,rarely,take_away,between_30_minutes_to_1_hour,within_1km,yes,coffee,4,3,5,4,4,5,5,social_media;through_friends_and_word_of_mouth,yes
female,from_20_to_29,employed,monthly,take_away,between_30_minutes_to_1_hour,1km_-_3km,yes,coffee,4,3,4,3,2,3,4,starbucks_website/apps,yes
female,from_20_to_29,employed,rarely,drive-thru,below_30_minutes,1km_-_3km,no,coffee;cold_drinks,5,4,3,4,3,3,3,in_store_displays,yes
male,below_20,student,monthly,dine_in,between_30_minutes_to_1_hour,more_than_3km,yes,coffee,5,5,5,5,5,5,5,through_friends_and_word_of_mouth,yes
male,below_20,student,monthly,dine_in,below_30_minutes,1km_-_3km,no,coffee,3,3,3,3,4,3,3,social_media,yes
female,from_20_to_29,student,rarely,drive-thru,below_30_minutes,more_than_3km,no,cold_drinks,4,3,4,4,3,4,3,starbucks_website/apps;social_media,yes
male,from_20_to_29,student,rarely,dine_in,between_1_hour_to_2_hours,1km_-_3km,yes,coffee,2,1,5,1,4,3,3,social_media,yes
female,from_20_to_29,employed,rarely,drive-thru,below_30_minutes,1km_-_3km,no,coffee;cold_drinks,5,4,3,4,3,3,3,in_store_displays,yes
male,from_30_to_39,student,rarely,dine_in,between_30_minutes_to_1_hour,more_than_3km,no,coffee,3,3,4,3,3,3,3,social_media,yes
male,from_20_to_29,employed,rarely,take_away,between_30_minutes_to_1_hour,within_1km,yes,coffee,4,2,3,5,4,4,5,social_media;through_friends_and_word_of_mouth,yes
female,from_20_to_29,employed,rarely,take_away,below_30_minutes,more_than_3km,no,coffee,3,1,5,3,4,4,5,social_media,no
female,from_20_to_29,student,rarely,dine_in,between_30_minutes_to_1_hour,1km_-_3km,no,coffee,4,3,2,4,3,4,4,through_friends_and_word_of_mouth,no
female,from_20_to_29,self-employed,monthly,dine_in,below_30_minutes,within_1km,yes,coffee;cold_drinks;pastries;sandwiches,4,3,4,5,4,4,4,starbucks_website/apps;social_media;emails;through_friends_and_word_of_mouth,yes
female,from_20_to_29,employed,rarely,dine_in,below_30_minutes,more_than_3km,no,coffee,2,1,5,4,4,4,1,starbucks_website/apps;social_media;through_friends_and_word_of_mouth,no
female,from_20_to_29,employed,rarely,dine_in,between_30_minutes_to_1_hour,1km_-_3km,yes,cold_drinks,3,3,5,4,3,3,4,social_media;through_friends_and_word_of_mouth;in_store_displays;billboards,yes
female,from_20_to_29,employed,rarely,take_away,below_30_minutes,within_1km,no,coffee,4,3,4,5,5,5,3,social_media;through_friends_and_word_of_mouth,yes
male,from_20_to_29,employed,weekly,take_away,between_1_hour_to_2_hours,within_1km,yes,coffee;sandwiches,5,1,3,3,2,3,3,"starbucks_website/apps;deal_sites_(fave,_iprice,_etc...)",yes
female,from_20_to_29,employed,monthly,take_away,below_30_minutes,more_than_3km,yes,coffee,4,2,4,4,3,4,3,through_friends_and_word_of_mouth,yes
male,from_30_to_39,employed,rarely,take_away,below_30_minutes,1km_-_3km,yes,cold_drinks,3,2,4,4,4,5,4,starbucks_website/apps;social_media,yes
female,from_20_to_29,housewife,rarely,drive-thru,below_30_minutes,more_than_3km,no,coffee;cold_drinks,3,2,3,3,3,5,4,social_media,yes
male,from_20_to_29,employed,rarely,take_away,below_30_minutes,more_than_3km,yes,coffee,3,3,4,5,4,4,4,"social_media;deal_sites_(fave,_iprice,_etc...);through_friends_and_word_of_mouth",yes
male,from_20_to_29,employed,rarely,take_away,below_30_minutes,1km_-_3km,no,coffee,4,2,5,3,2,4,4,social_media;emails;through_friends_and_word_of_mouth,yes
male,from_20_to_29,employed,monthly,dine_in,between_30_minutes_to_1_hour,more_than_3km,yes,coffee,4,2,1,4,1,4,4,social_media,yes
female,from_20_to_29,student,rarely,take_away,below_30_minutes,more_than_3km,no,coffee,2,1,5,2,2,2,2,social_media;through_friends_and_word_of_mouth,no
female,below_20,student,rarely,take_away,below_30_minutes,more_than_3km,no,cold_drinks,2,2,3,2,2,2,2,"social_media;deal_sites_(fave,_iprice,_etc...)",no
female,from_20_to_29,employed,monthly,drive-thru,more_than_3_hours,1km_-_3km,yes,coffee,3,2,4,3,1,3,3,starbucks_website/apps,no
male,from_20_to_29,self-employed,rarely,dine_in,between_1_hour_to_2_hours,more_than_3km,yes,cold_drinks,5,5,5,5,5,5,5,starbucks_website/apps,yes
male,from_30_to_39,self-employed,weekly,take_away,between_30_minutes_to_1_hour,1km_-_3km,yes,coffee,4,4,2,4,3,4,5,social_media,yes
male,from_20_to_29,employed,rarely,dine_in,between_1_hour_to_2_hours,more_than_3km,no,coffee,4,2,4,3,4,4,4,in_store_displays,no
male,from_30_to_39,self-employed,monthly,dine_in,between_2_hours_to_3_hours,more_than_3km,yes,jaws_chip_,4,3,4,4,3,4,4,starbucks_website/apps;emails,yes
male,from_20_to_29,self-employed,rarely,drive-thru,between_30_minutes_to_1_hour,more_than_3km,yes,coffee,4,3,2,3,1,2,2,social_media;through_friends_and_word_of_mouth,yes
female,from_20_to_29,employed,rarely,dine_in,below_30_minutes,1km_-_3km,yes,coffee,3,3,3,4,3,3,3,social_media;through_friends_and_word_of_mouth,yes
female,from_20_to_29,employed,rarely,take_away,below_30_minutes,within_1km,yes,cake_,4,4,4,4,4,4,4,starbucks_website/apps;social_media;through_friends_and_word_of_mouth,yes
male,from_20_to_29,self-employed,rarely,dine_in,below_30_minutes,1km_-_3km,yes,cold_drinks,5,5,5,5,4,5,5,starbucks_website/apps,yes
female,from_30_to_39,employed,weekly,dine_in,between_1_hour_to_2_hours,more_than_3km,yes,coffee,4,4,5,4,4,5,4,emails,yes
female,from_30_to_39,employed,monthly,take_away,between_30_minutes_to_1_hour,within_1km,yes,coffee;pastries,4,3,4,5,5,4,5,starbucks_website/apps;social_media;emails;through_friends_and_word_of_mouth,yes
female,from_20_to_29,employed,rarely,take_away,below_30_minutes,more_than_3km,yes,coffee,5,3,5,5,4,4,1,social_media;in_store_displays,yes
male,from_20_to_29,employed,monthly,take_away,below_30_minutes,more_than_3km,yes,coffee,3,1,3,3,1,3,2,social_media;through_friends_and_word_of_mouth,yes
female,from_20_to_29,employed,rarely,dine_in,between_30_minutes_to_1_hour,1km_-_3km,yes,cold_drinks,3,3,5,4,3,3,4,social_media;through_friends_and_word_of_mouth;in_store_displays;billboards,yes
female,from_20_to_29,self-employed,rarely,take_away,below_30_minutes,more_than_3km,no,cold_drinks,3,3,1,4,3,4,4,social_media;through_friends_and_word_of_mouth,yes
female,from_30_to_39,employed,rarely,i_dont_like_coffee,below_30_minutes,within_1km,no,pastries,3,3,3,3,3,3,3,social_media,yes
female,from_20_to_29,employed,rarely,drive-thru,below_30_minutes,1km_-_3km,yes,coffee,4,3,4,3,3,4,4,starbucks_website/apps;emails,yes
male,from_30_to_39,employed,rarely,drive-thru,between_30_minutes_to_1_hour,more_than_3km,yes,coffee,4,2,3,4,4,4,4,social_media,yes
male,from_20_to_29,student,rarely,drive-thru,between_30_minutes_to_1_hour,more_than_3km,no,cold_drinks,3,2,3,3,3,3,3,through_friends_and_word_of_mouth,yes
male,from_20_to_29,student,rarely,dine_in,between_30_minutes_to_1_hour,more_than_3km,no,coffee,3,4,3,3,1,2,3,through_friends_and_word_of_mouth,yes
male,from_20_to_29,self-employed,daily,drive-thru,below_30_minutes,more_than_3km,yes,coffee,4,2,4,4,3,3,3,social_media;emails,yes
male,from_30_to_39,employed,weekly,dine_in,between_1_hour_to_2_hours,more_than_3km,no,coffee;pastries,4,5,5,4,4,3,3,starbucks_website/apps;social_media;through_friends_and_word_of_mouth,yes
male,below_20,student,rarely,drive-thru,between_30_minutes_to_1_hour,more_than_3km,no,pastries,4,4,4,4,4,4,4,social_media;emails,no
male,40_and_above,employed,monthly,drive-thru,between_30_minutes_to_1_hour,more_than_3km,no,cold_drinks,4,3,5,4,4,4,4,starbucks_website/apps,yes
male,from_20_to_29,student,rarely,take_away,below_30_minutes,more_than_3km,no,coffee,3,3,3,3,3,3,3,starbucks_website/apps;social_media,yes
male,from_20_to_29,student,rarely,dine_in,below_30_minutes,more_than_3km,no,coffee;pastries,3,3,3,3,3,3,2,social_media,no
male,from_20_to_29,student,rarely,take_away,below_30_minutes,more_than_3km,no,cold_drinks,4,2,3,5,4,4,2,social_media,no
female,from_20_to_29,employed,monthly,take_away,below_30_minutes,more_than_3km,no,cold_drinks,5,4,4,4,4,4,4,social_media;through_friends_and_word_of_mouth;in_store_displays;billboards,yes
female,below_20,student,rarely,take_away,below_30_minutes,more_than_3km,no,cold_drinks,3,4,5,5,5,4,4,social_media,yes
male,40_and_above,self-employed,rarely,dine_in,between_30_minutes_to_1_hour,more_than_3km,no,cold_drinks,2,2,1,2,2,3,2,in_store_displays,no
male,below_20,student,daily,take_away,below_30_minutes,more_than_3km,no,cold_drinks,5,5,5,5,5,5,5,social_media;through_friends_and_word_of_mouth,yes
male,from_30_to_39,student,monthly,dine_in,between_1_hour_to_2_hours,more_than_3km,no,cold_drinks,4,4,5,4,2,3,4,social_media,yes
male,40_and_above,self-employed,monthly,dine_in,between_1_hour_to_2_hours,1km_-_3km,yes,coffee,3,3,5,3,2,4,4,starbucks_website/apps;social_media,yes
male,from_20_to_29,employed,monthly,dine_in,between_1_hour_to_2_hours,1km_-_3km,yes,coffee;cold_drinks;juices;pastries;sandwiches,5,5,5,5,5,5,5,"starbucks_website/apps;social_media;emails;deal_sites_(fave,_iprice,_etc...);through_friends_and_word_of_mouth;in_store_displays;billboards",yes
male,from_20_to_29,student,rarely,dine_in,between_30_minutes_to_1_hour,1km_-_3km,no,coffee;cold_drinks,3,2,4,3,3,3,4,social_media;through_friends_and_word_of_mouth;in_store_displays,no
female,from_20_to_29,employed,rarely,take_away,below_30_minutes,within_1km,no,coffee,4,4,4,4,4,4,4,social_media;through_friends_and_word_of_mouth;billboards,yes
male,from_20_to_29,employed,rarely,dine_in,between_30_minutes_to_1_hour,1km_-_3km,no,coffee,1,1,5,4,3,3,2,in_store_displays,no
